DATE,LAUST040000000000006A
1976-01-01,981368
1977-01-01,1043373
1978-01-01,1083594
1979-01-01,1154948
1980-01-01,1232426
1981-01-01,1271333
1982-01-01,1344759
1983-01-01,1389857
1984-01-01,1438991
1985-01-01,1490450
1986-01-01,1569107
1987-01-01,1612643
1988-01-01,1662698
1989-01-01,1710093
1990-01-01,1785713
1991-01-01,1808277
1992-01-01,1875439
1993-01-01,1941133
1994-01-01,2105320
1995-01-01,2236926
1996-01-01,2287146
1997-01-01,2304915
1998-01-01,2389188
1999-01-01,2482545
2000-01-01,2510611
2001-01-01,2593664
2002-01-01,2683502
2003-01-01,2728649
2004-01-01,2788618
2005-01-01,2862517
2006-01-01,2970679
2007-01-01,3018805
2008-01-01,3095993
2009-01-01,3128891
2010-01-01,3096316
2011-01-01,3051937
2012-01-01,3054343
2013-01-01,3064554
2014-01-01,3118441
2015-01-01,3184445
2016-01-01,3253468
2017-01-01,3329618
2018-01-01,3428064
2019-01-01,3538723
2020-01-01,3570220
